dauid,Emp_fulltime,Emp_notemp,stu_notstudent,stu_fulltime,person_n,hhld_size,hhld_vehicles,person_age,drivelic_NO,drivelic_YES,TPass_No,person_N_trips
35200335,109.02,154.05,262.78,51.87,392.67,3.229224104,2.002126822,40.91511957,39.76,335.63,375.39,2.168258334
35200336,158.29,106.21,232.58,31.92,373.25,4.011918736,1.7903386,40.7713061,86.98,286.27,312.33,1.964768922
35200337,74.13,183.39,182.09,78.63,437.02,3.105599773,2.121446845,41.58912636,78.63,266.99,277.85,1.254290421
35200338,7.46,21.44,28.9,0,61.61,1.819013877,1,67.25807499,20.28,41.33,54.15,1.672780393
35200339,64.44,94.72,159.16,33.49,318.99,3.367715372,1.00707348,30.81215712,156.62,162.37,318.99,1.891250509
35200352,831.71,436.8,1152.65,183.98,1650.39,1.946629002,0.967090212,38.81803089,144.66,1505.73,1120.88,2.117875169
35200355,46.59,46.59,93.18,0,214.24,2.214595824,1.251395493,49.36183719,0,214.24,214.24,1.806198656
35200357,185.69,123.96,319.6,47.43,544.03,3.917020074,2.209004806,37.61276033,55.13,488.9,376.18,3.530356782
35200358,13.61,98.7,176.62,33.37,335.6,2.200078668,1.613347319,47.27413588,19.76,315.84,315.84,1.539272944
35200359,146.92,162.66,306.7,35.75,399.5,3.170711528,1.892581357,48.31186483,50.33,313.63,297.73,2.908560701
35200360,85.08,38.46,154.15,13.61,313.9,3.073029046,2.042139235,44.99550812,92.43,221.47,313.9,3.062663269
35200361,189.98,60.26,260.77,26.56,416.7,3.634410967,2.177186423,47.35269978,37.74,378.96,396.24,2.048980082
35200362,103.17,30.55,159.33,0,210.86,3.037130909,1.558357623,51.39879541,28.1,182.76,176.63,1.514274874
35200363,21.73,59.42,104.78,15.8,260.25,3.033216783,1.754312354,47.09068204,55.19,205.06,198.08,1.768837656
35200364,796.29,347.45,1185.46,43.9,1569.45,1.928422556,0.961383542,42.06728472,375.96,1134.74,1092.08,2.008697314
35200366,188.22,46.58,350.33,50.12,629.83,3.250893292,1.218653565,39.58174428,221.53,384.9,338.83,2.218376387
35200368,133.53,44.06,161.78,21.09,231.74,3.470104091,1.272936335,42.54090791,14.3,161.57,105.85,1.831664797
35200370,263.44,213.55,313.38,282.32,845.35,3.616129157,1.866932518,40.55811202,101.67,743.68,578.39,1.916709055
35200371,19.27,0,57.81,0,126.36,2.877704395,2.755408791,48.88239949,38.54,87.82,126.36,1.762503957
35200372,98.66,124.46,223.12,0,390.1,3.408754666,1.788734306,43.74557806,101.35,266.56,302.64,3.386388106
35200373,365.85,58.51,534.23,110.85,837.78,3.410854845,1.844911147,37.73013202,190.97,646.81,792.9,2.545656378
35200374,36.83,27.91,64.74,0,310.7,1.620169995,1.270532409,70.9215964,48.07,254.7,300.79,3.105535887
35200375,128.56,49.29,314.29,0,518.1,2.604697264,1.435595777,43.92375989,166.67,351.43,440.81,2.885234511
35200376,12.16,12.16,77.23,0,171.56,2.822328216,2.103890297,54.80292609,29.95,124.28,171.56,2.579214269
35200377,236.92,88.74,362.78,14.89,504.96,3.562409583,2.132631213,42.16286439,99.54,375.64,487.49,2.033864068
35200378,195.54,166.34,304.58,71.74,587.17,3.996800762,2.260295419,40.21455456,108.91,478.26,587.17,2.340838258
35200379,330.83,142.23,659.67,163.64,1068.26,3.246216792,2.498038337,42.95931702,125.58,901.06,859.93,2.915441934
35200380,177.34,60.51,370.3,0,416.24,2.772875247,2.278630392,46.66934941,65.25,350.99,382.4,2.409739573
35200381,394.48,124.38,546.6,40.29,1071.38,2.397096987,1.220409061,43.99354104,300.38,771,809.21,2.89544326
35200382,89.69,56.32,155.07,20,333.87,3.69202454,1.579990562,38.01075269,97.36,236.51,313.87,3.336747836
35200383,436.2,115.21,594.43,107.15,1075.22,2.584119737,1.103805333,39.7049162,232.15,843.07,626.07,2.527073529
35200384,100.65,130.05,239.25,22.59,499.94,3.635535608,2.286845753,46.07788935,114.9,283.28,467.72,1.915429852
35200385,145.41,13.68,181.92,55.6,377.34,4.296709811,1.993676514,38.62301903,100.67,276.67,294.38,3.099962898
35200386,189.9,102.93,352.68,20.87,603.28,3.431864809,2.608195659,43.36193807,90.13,513.15,476.26,2.375149184
35200387,215.21,40.41,277.67,0,468.19,3.083700182,1.927686799,44.84657938,87.45,380.74,373.36,2.236399752
35200388,274.34,45.92,362.62,0,442.97,4.220081581,1.576655162,38.45278461,88.41,312.19,358.1,2.47432106
35200389,160.51,170.34,268.98,55.44,657.25,2.671294001,1.378747314,48.16048688,159.17,461.48,595.88,2.382289844
35200391,86.72,60.72,147.44,48.72,266.12,3.227536403,1.871196875,40.18732151,97.44,168.68,259.61,2.735081918
35200392,101.08,154.93,262.43,68.33,365.78,2.856763511,1.690955951,47.78998305,33.13,326.23,210.47,2.217917874
35200393,183.57,419.92,431.01,207.56,1029.94,3.143767517,1.614928456,44.78985184,152.72,721.55,651.95,2.188292522
35200394,140.06,95.59,249.86,0,347.46,2.990044397,1.849993273,46.75585679,27.84,273.91,251.27,3.51876475
35200395,217.84,104.01,353.34,34.4,458.3,3.297718456,1.892300611,41.08887192,70.56,355.25,346.52,1.923107135
35200396,68.68,62.53,131.21,25.46,207.67,2.423973985,1.901771698,54.51172533,11.85,195.82,187.32,2.567583185
35200397,0,80.75,127.27,0,315.6,1.4848271,0.344436603,63.2276616,218.52,97.08,210.44,1.914163498
35200400,0,0,18.88,0,38.4,2,1.508333333,67.63125,0,38.4,38.4,1.983333333
35200401,187.67,73.55,350.75,40.65,530.78,3.265186218,2.447022505,37.50501149,58.1,472.68,478.06,2.714250725
35200402,272.61,29.24,258.68,22.62,364.72,1.76025662,1.054919908,45.01176245,31.86,317.39,269.47,3.303959202
35200404,708.98,439.25,1127.16,66.15,1795.54,2.911343215,0.981015283,44.78439355,670.62,1124.92,1166.48,1.883132651
35200405,77.38,23.78,156.89,0,156.89,3.099766732,1.872061726,42.73159539,0,145,148.96,1.73726815
35200406,322.74,65.81,409.54,61.18,738,3.850742525,1.94982942,45.0553794,225.75,512.25,617.62,2.284783198
35200407,148.03,67.22,231.11,0,448.32,3.621200475,1.470267626,43.31977159,213.43,234.89,427.56,1.730571913
35200408,91.55,128.54,205.73,14.36,328.24,2.090234272,1.628060016,54.75389959,28.48,299.76,295.3,2.329667317
35200409,85.79,58.92,146.14,21.97,209.36,2.33185654,1.454852321,38.85723156,15.8,171.59,77.92,2.424054261
35200410,358.3,172.07,542.74,42.25,880.31,2.68730677,1.133289029,36.68305483,367.25,490.78,755.01,1.753336893
35200411,341.28,58.48,357.4,0,618.55,1.976767351,0.512583131,49.48120605,443.59,174.96,258.85,2.396718131
35200412,508.58,438.45,1066.77,305.31,1784.88,2.972178797,0.686598923,38.46479875,991.96,792.92,883.48,1.983724396
35200413,562.43,177.4,752.65,0,1181.61,1.775370057,1.064963958,41.54069448,150.73,995.32,950.03,2.320486455
35200414,524.09,84.74,690.33,48.07,915.28,2.860641189,1.311636807,37.06754217,147.11,768.17,682.13,3.138438511
35200415,205.17,113.57,408.38,57.76,671.81,3.456868571,1.921325714,42.95358807,104.23,567.58,601.03,2.046352391
35200416,115.69,32.24,177.32,0,311.31,2.824463045,1.66495578,56.78905271,48.31,253.34,278.06,2.614467894
35200417,152.13,18.37,180.47,19.06,380.76,2.286384977,1.314785834,52.77584305,94.03,286.73,255.03,2.244300872
35200418,181.29,187.34,644.11,0,895.07,2.212929869,0.824274524,45.24079681,295.16,599.91,607.26,2.069268325
35200420,148.14,31.95,198.89,0,288.93,2.963768793,1.229713325,47.73519538,97.97,184.66,221.99,1.400373793
35200421,39.77,6.23,65.87,0,80.41,2.897276085,1.688365651,51.75376197,0,80.41,80.41,2.521576918
35200422,157.03,0,181.65,0,360.69,3.888092836,0.8839556,51.57894591,153.24,207.45,159.1,1.117275222
35200423,705.23,402.72,1152.45,42.43,1739.41,2.199953437,1.073868361,45.14596329,460.45,1278.96,1400.03,2.108559799
35200426,181.87,102.97,255.41,16.88,485.84,2.034165131,1.07234969,55.02074757,157.39,302.64,460.74,1.607195785
35200427,147.2,49.34,196.54,0,303.72,3.17565872,2.040673358,55.14273015,62.21,241.51,243.85,1.262215198
35200428,177.38,50.02,172.21,38.26,334.56,2.684611066,1.326055767,45.4985055,69.15,265.41,241.19,2.254184601
35200429,131.76,88.44,378.27,0,716.99,3.905733571,1,28.1763065,370.77,346.22,716.99,2.351413548
35200430,211.63,57.44,280.02,0,530.11,2.977105916,1.435911146,47.54252891,233.53,296.58,387.55,2.853370055
35200431,68.34,112.6,181.91,0,227.14,4.314234823,2.0143981,45.43198028,48.12,179.02,205,0.983094127
35200432,69.09,22.8,91.89,22.8,176.11,2.061453822,1.266885169,59.59593436,34.94,141.17,165.97,1.777071149
35200433,26.44,0,26.44,0,40.78,1.479680697,0.959361393,70.65914664,14.34,26.44,26.44,0.648357038
35200434,17.44,99.42,216.28,0,453.74,3.197921027,0.238802846,30.13946313,424.16,29.58,56.06,1.967845021
